"url","title","description","content","reviewCount","langTag"
"https://www.etsy.com/ie/listing/654808127/funny-football-shirt-show-me-your-touch","Funny Football Shirt Show Me Your Touch Down Shirt - Etsy Ireland","This Gender-Neutral Adult Graphic Tees item by PopularTeez has 48 favorites from Etsy shoppers. Ships from United States. Listed on 29 Aug, 2022","",399,"ie"
"https://www.etsy.com/ie/listing/551269432/the-ninong-shirt","The Ninong Shirt - Etsy Ireland","This Mens <strong>T</strong>-<strong>Shirts</strong> item by ThePressBrand has 97 favorites from Etsy shoppers. Ships from United States. Listed on 14 Jan, 2024","",399,"ie"
"https://www.etsy.com/ie/listing/768598616/jesus-was-a-radical-socialist-t-shirt","Etsy Ireland - Shop for handmade, vintage, custom, and unique gifts ...","Shop Etsy Ireland. Find handmade gifts, vintage &amp; on-trend clothes, unique jewellery, and more.","",399,"ie"
"https://www.etsy.com/ie/listing/867763400/i-am-a-mom-against-cat-boys-tshirt","I Am a Mom Against Cat Boys Tshirt - Etsy Ireland","This Gender-Neutral Adult <strong>T</strong>-<strong>shirts</strong> item by XxTEEDESIGNSxX has <strong>400</strong> favorites from Etsy shoppers. Ships from United States. Listed on 14 Sep, 2023","",400,"ie"
"https://www.etsy.com/ie/listing/210492255/t-shirts-for-submissives-20","T-shirts for Submissives 20 - Etsy Ireland","Find the perfect handmade gift, vintage &amp; on-trend clothes, unique jewellery, and more… lots more.","",400,"ie"
"https://www.etsy.com/ie/listing/793535463/the-magic-tap-unisex-cotton-t-shirt","Etsy Ireland - Shop for handmade, vintage, custom, and unique gifts ...","Shop Etsy Ireland. Find handmade gifts, vintage &amp; on-trend clothes, unique jewellery, and more.","",400,"ie"
"https://www.etsy.com/ie/listing/654808127/funny-football-shirt-show-me-your-touch","Funny Football Shirt Show Me Your Touch Down Shirt - Etsy Ireland","This Gender-Neutral Adult Graphic Tees item by PopularTeez has 48 favorites from Etsy shoppers. Ships from United States. Listed on 29 Aug, 2022","",400,"ie"
"https://www.etsy.com/ie/listing/538009413/1000-t-shirt-keywords-for-etsy-seo-top","1000 T-shirt Keywords for Etsy SEO Top Etsy Keywords - Etsy Ireland","In this list, you will get 1,000+ keywords related to the most popular <strong>t</strong>-<strong>shirt</strong> products! These are keywords that are actually used by buyers. So, youll know what theyre searching for, and what you should title your product listing. After you have made your purchase, click the Download button on","",400,"ie"
"https://www.etsy.com/ie/listing/1109745787/misfits-middle-fingers-t-shirt","Misfits Middle Fingers T-shirt - Etsy Ireland","This Gender-Neutral Adult Graphic Tees item by BehindTheSleeves has <strong>401</strong> favorites from Etsy shoppers. Ships from United States. Listed on 09 Mar, 2023","",401,"ie"
"https://www.etsy.com/ie/listing/210492255/t-shirts-for-submissives-20","T-shirts for Submissives 20 - Etsy Ireland","Find the perfect handmade gift, vintage &amp; on-trend clothes, unique jewellery, and more… lots more.","",401,"ie"
"https://www.etsy.com/ie/listing/449253582/steely-dad-steely-dan-dad-rock-parody-t","Steely Dad Steely Dan Dad Rock Parody T Shirt Small | Etsy","Find the perfect handmade gift, vintage &amp; on-trend clothes, unique jewellery, and more… lots more.","",401,"ie"
